"feature","enrich_group","ef_lda","pvalue","padj","short_feature"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria","Saliva",0.054541145572425,3.86458745944773e-30,3.86458745944773e-30,"k__Bacteria|p__Proteobacteria|c__Gammapr"
"k__Bacteria|p__Proteobacteria","Saliva",0.053326262664811,2.29116843016183e-27,2.29116843016183e-27,"k__Bacteria|p__Proteobacteria"
"k__Bacteria|p__Firmicutes|c__Bacilli","Saliva",0.0530398797787849,1.95907525662723e-35,1.95907525662723e-35,"k__Bacteria|p__Firmicutes|c__Bacilli"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales","Saliva",0.0492133563872646,2.11770289173165e-52,2.11770289173165e-52,"k__Bacteria|p__Firmicutes|c__Bacilli|o__"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales","Saliva",0.0488835073651186,2.08788699497471e-44,2.08788699497471e-44,"k__Bacteria|p__Firmicutes|c__Negativicut"
"k__Bacteria|p__Firmicutes|c__Negativicutes","Saliva",0.0468773978368727,2.9446282341248e-33,2.9446282341248e-33,"k__Bacteria|p__Firmicutes|c__Negativicut"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae","Saliva",0.0437633771835957,7.08106647416723e-54,7.08106647416723e-54,"k__Bacteria|p__Firmicutes|c__Bacilli|o__"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus","Saliva",0.0437207186028743,2.54034576019073e-54,2.54034576019073e-54,"k__Bacteria|p__Firmicutes|c__Bacilli|o__"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales","Saliva",0.0409120235064493,3.52499204174124e-21,3.52499204174124e-21,"k__Bacteria|p__Proteobacteria|c__Gammapr"
"k__Bacteria|p__Patescibacteria","Saliva",0.0397466994795022,9.51119077341532e-60,9.51119077341532e-60,"k__Bacteria|p__Patescibacteria"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales|f__Veillonellaceae|g__Veillonella","Saliva",0.0392190429467627,4.48803281848824e-58,4.48803281848824e-58,"k__Bacteria|p__Firmicutes|c__Negativicut"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales|f__Veillonellaceae","Saliva",0.0381729308351285,8.13079215350562e-42,8.13079215350562e-42,"k__Bacteria|p__Firmicutes|c__Negativicut"
"k__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales","Saliva",0.0350811929136841,4.57326988690026e-58,4.57326988690026e-58,"k__Bacteria|p__Patescibacteria|c__Saccha"
"k__Bacteria|p__Patescibacteria|c__Saccharimonadia","Saliva",0.0349080968635423,4.57326988690026e-58,4.57326988690026e-58,"k__Bacteria|p__Patescibacteria|c__Saccha"
"k__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__Saccharimonadaceae","Saliva",0.0333356395233861,8.13492435676012e-58,8.13492435676012e-58,"k__Bacteria|p__Patescibacteria|c__Saccha"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified","Saliva",0.0281760242969256,2.25346442272531e-54,2.25346442272531e-54,"k__Bacteria|p__Firmicutes|c__Negativicut"
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales","Saliva",0.027987372937979,6.28004928235256e-62,6.28004928235256e-62,"k__Bacteria|p__Fusobacteriota|c__Fusobac"
"k__Bacteria|p__Fusobacteriota","Saliva",0.0279738576490088,6.28004928235256e-62,6.28004928235256e-62,"k__Bacteria|p__Fusobacteriota"
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia","Saliva",0.0279094140388772,6.28004928235256e-62,6.28004928235256e-62,"k__Bacteria|p__Fusobacteriota|c__Fusobac"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_unclassified","Saliva",0.0269509217385628,3.62892028208686e-54,3.62892028208686e-54,"k__Bacteria|p__Firmicutes|c__Bacilli|o__"
"k__Bacteria|p__Campilobacterota","Saliva",0.0267739110836533,6.96028999718194e-61,6.96028999718194e-61,"k__Bacteria|p__Campilobacterota"
"k__Bacteria|p__Campilobacterota|c__Campylobacteria","Saliva",0.0267044097037693,6.96028999718194e-61,6.96028999718194e-61,"k__Bacteria|p__Campilobacterota|c__Campy"
"k__Bacteria|p__Campilobacterota|c__Campylobacteria|o__Campylobacterales","Saliva",0.0266692434420612,6.96028999718194e-61,6.96028999718194e-61,"k__Bacteria|p__Campilobacterota|c__Campy"
"k__Bacteria|p__Campilobacterota|c__Campylobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter","Saliva",0.0266469013315748,6.96028999718194e-61,6.96028999718194e-61,"k__Bacteria|p__Campilobacterota|c__Campy"
"k__Bacteria|p__Campilobacterota|c__Campylobacteria|o__Campylobacterales|f__Campylobacteraceae","Saliva",0.0265706763811669,6.96028999718194e-61,6.96028999718194e-61,"k__Bacteria|p__Campilobacterota|c__Campy"
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae","Saliva",0.0240836850306259,1.64526543186861e-58,1.64526543186861e-58,"k__Bacteria|p__Fusobacteriota|c__Fusobac"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae","Saliva",0.023983502762261,3.75796969956196e-27,3.75796969956196e-27,"k__Bacteria|p__Bacteroidota|c__Bacteroid"
